areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2022-11-23,5670,60
K02000001,United Kingdom,overview,2022-11-22,5736,59
K02000001,United Kingdom,overview,2022-11-21,5761,53
K02000001,United Kingdom,overview,2022-11-20,5777,61
K02000001,United Kingdom,overview,2022-11-19,5763,58
K02000001,United Kingdom,overview,2022-11-18,5847,58
K02000001,United Kingdom,overview,2022-11-17,5949,54
K02000001,United Kingdom,overview,2022-11-16,6142,54
K02000001,United Kingdom,overview,2022-11-15,6311,67
K02000001,United Kingdom,overview,2022-11-14,6457,62
K02000001,United Kingdom,overview,2022-11-13,6446,56
K02000001,United Kingdom,overview,2022-11-12,6451,46
K02000001,United Kingdom,overview,2022-11-11,6565,73
K02000001,United Kingdom,overview,2022-11-10,6751,56
K02000001,United Kingdom,overview,2022-11-09,6879,64
K02000001,United Kingdom,overview,2022-11-08,7107,65
K02000001,United Kingdom,overview,2022-11-07,7283,76
K02000001,United Kingdom,overview,2022-11-06,7493,58
K02000001,United Kingdom,overview,2022-11-05,7660,79
K02000001,United Kingdom,overview,2022-11-04,7953,98
K02000001,United Kingdom,overview,2022-11-03,8282,84
K02000001,United Kingdom,overview,2022-11-02,8641,80
K02000001,United Kingdom,overview,2022-11-01,9026,85
K02000001,United Kingdom,overview,2022-10-31,9539,83
K02000001,United Kingdom,overview,2022-10-30,9754,98
K02000001,United Kingdom,overview,2022-10-29,9853,98
K02000001,United Kingdom,overview,2022-10-28,10254,88
K02000001,United Kingdom,overview,2022-10-27,10466,107
K02000001,United Kingdom,overview,2022-10-26,10781,92
K02000001,United Kingdom,overview,2022-10-25,11010,115
K02000001,United Kingdom,overview,2022-10-24,11371,107
K02000001,United Kingdom,overview,2022-10-23,11434,103
K02000001,United Kingdom,overview,2022-10-22,11455,112
K02000001,United Kingdom,overview,2022-10-21,11621,112
K02000001,United Kingdom,overview,2022-10-20,11802,123
K02000001,United Kingdom,overview,2022-10-19,12067,102
K02000001,United Kingdom,overview,2022-10-18,12300,109
K02000001,United Kingdom,overview,2022-10-17,12420,117
K02000001,United Kingdom,overview,2022-10-16,12317,108
K02000001,United Kingdom,overview,2022-10-15,12214,109
K02000001,United Kingdom,overview,2022-10-14,12100,115
K02000001,United Kingdom,overview,2022-10-13,12258,112
K02000001,United Kingdom,overview,2022-10-12,12345,127
K02000001,United Kingdom,overview,2022-10-11,12210,108
K02000001,United Kingdom,overview,2022-10-10,12113,94
K02000001,United Kingdom,overview,2022-10-09,11854,101
K02000001,United Kingdom,overview,2022-10-08,11668,92
K02000001,United Kingdom,overview,2022-10-07,11668,101
K02000001,United Kingdom,overview,2022-10-06,11494,96
K02000001,United Kingdom,overview,2022-10-05,11172,99
K02000001,United Kingdom,overview,2022-10-04,10798,92
K02000001,United Kingdom,overview,2022-10-03,10290,83
K02000001,United Kingdom,overview,2022-10-02,9770,64
K02000001,United Kingdom,overview,2022-10-01,9424,81
K02000001,United Kingdom,overview,2022-09-30,8990,64
K02000001,United Kingdom,overview,2022-09-29,8578,67
K02000001,United Kingdom,overview,2022-09-28,8308,62
K02000001,United Kingdom,overview,2022-09-27,8053,69
K02000001,United Kingdom,overview,2022-09-26,7697,66
K02000001,United Kingdom,overview,2022-09-25,7241,41
K02000001,United Kingdom,overview,2022-09-24,6970,49
K02000001,United Kingdom,overview,2022-09-23,6753,54
K02000001,United Kingdom,overview,2022-09-22,6495,50
K02000001,United Kingdom,overview,2022-09-21,6214,37
K02000001,United Kingdom,overview,2022-09-20,5921,50
K02000001,United Kingdom,overview,2022-09-19,5763,49
K02000001,United Kingdom,overview,2022-09-18,5597,40
K02000001,United Kingdom,overview,2022-09-17,5500,40
K02000001,United Kingdom,overview,2022-09-16,5604,39
K02000001,United Kingdom,overview,2022-09-15,5638,49
K02000001,United Kingdom,overview,2022-09-14,5607,45
K02000001,United Kingdom,overview,2022-09-13,5687,50
K02000001,United Kingdom,overview,2022-09-12,5736,43
K02000001,United Kingdom,overview,2022-09-11,5795,31
K02000001,United Kingdom,overview,2022-09-10,5762,48
K02000001,United Kingdom,overview,2022-09-09,5926,38
K02000001,United Kingdom,overview,2022-09-08,6034,47
K02000001,United Kingdom,overview,2022-09-07,6089,61
K02000001,United Kingdom,overview,2022-09-06,6269,40
K02000001,United Kingdom,overview,2022-09-05,6376,39
K02000001,United Kingdom,overview,2022-09-04,6372,46
K02000001,United Kingdom,overview,2022-09-03,6335,54
K02000001,United Kingdom,overview,2022-09-02,6510,48
K02000001,United Kingdom,overview,2022-09-01,6750,44
K02000001,United Kingdom,overview,2022-08-31,6841,75
K02000001,United Kingdom,overview,2022-08-30,6942,44
K02000001,United Kingdom,overview,2022-08-29,6944,54
K02000001,United Kingdom,overview,2022-08-28,6884,61
K02000001,United Kingdom,overview,2022-08-27,6960,58
K02000001,United Kingdom,overview,2022-08-26,7017,43
K02000001,United Kingdom,overview,2022-08-25,7512,50
K02000001,United Kingdom,overview,2022-08-24,7584,53
K02000001,United Kingdom,overview,2022-08-23,7769,78
K02000001,United Kingdom,overview,2022-08-22,8236,65
K02000001,United Kingdom,overview,2022-08-21,8132,61
K02000001,United Kingdom,overview,2022-08-20,8209,76
K02000001,United Kingdom,overview,2022-08-19,8533,69
K02000001,United Kingdom,overview,2022-08-18,8933,63
K02000001,United Kingdom,overview,2022-08-17,9069,56
K02000001,United Kingdom,overview,2022-08-16,9457,71
K02000001,United Kingdom,overview,2022-08-15,9749,88
K02000001,United Kingdom,overview,2022-08-14,9772,90
K02000001,United Kingdom,overview,2022-08-13,9625,92
K02000001,United Kingdom,overview,2022-08-12,9691,108
K02000001,United Kingdom,overview,2022-08-11,9963,99
K02000001,United Kingdom,overview,2022-08-10,10143,77
K02000001,United Kingdom,overview,2022-08-09,10296,90
K02000001,United Kingdom,overview,2022-08-08,10632,100
K02000001,United Kingdom,overview,2022-08-07,10541,100
K02000001,United Kingdom,overview,2022-08-06,10597,66
K02000001,United Kingdom,overview,2022-08-05,11002,87
K02000001,United Kingdom,overview,2022-08-04,11442,85
K02000001,United Kingdom,overview,2022-08-03,11827,107
K02000001,United Kingdom,overview,2022-08-02,12235,102
K02000001,United Kingdom,overview,2022-08-01,12535,93
K02000001,United Kingdom,overview,2022-07-31,12574,98
K02000001,United Kingdom,overview,2022-07-30,12705,79
K02000001,United Kingdom,overview,2022-07-29,13401,118
K02000001,United Kingdom,overview,2022-07-28,13752,126
K02000001,United Kingdom,overview,2022-07-27,14303,115
K02000001,United Kingdom,overview,2022-07-26,14600,121
K02000001,United Kingdom,overview,2022-07-25,15025,114
K02000001,United Kingdom,overview,2022-07-24,15086,133
K02000001,United Kingdom,overview,2022-07-23,15013,128
K02000001,United Kingdom,overview,2022-07-22,15844,117
K02000001,United Kingdom,overview,2022-07-21,16097,127
K02000001,United Kingdom,overview,2022-07-20,16299,191
K02000001,United Kingdom,overview,2022-07-19,16600,225
K02000001,United Kingdom,overview,2022-07-18,16792,127
K02000001,United Kingdom,overview,2022-07-17,16648,158
K02000001,United Kingdom,overview,2022-07-16,16548,121
K02000001,United Kingdom,overview,2022-07-15,16878,105
K02000001,United Kingdom,overview,2022-07-14,16752,127
K02000001,United Kingdom,overview,2022-07-13,16652,136
K02000001,United Kingdom,overview,2022-07-12,16522,154
K02000001,United Kingdom,overview,2022-07-11,16116,128
K02000001,United Kingdom,overview,2022-07-10,15638,117
K02000001,United Kingdom,overview,2022-07-09,15138,108
K02000001,United Kingdom,overview,2022-07-08,14959,108
K02000001,United Kingdom,overview,2022-07-07,14529,102
K02000001,United Kingdom,overview,2022-07-06,14134,116
K02000001,United Kingdom,overview,2022-07-05,13638,102
K02000001,United Kingdom,overview,2022-07-04,13163,91
K02000001,United Kingdom,overview,2022-07-03,12377,69
K02000001,United Kingdom,overview,2022-07-02,11972,90
K02000001,United Kingdom,overview,2022-07-01,11664,79
K02000001,United Kingdom,overview,2022-06-30,11127,76
K02000001,United Kingdom,overview,2022-06-29,10726,84
K02000001,United Kingdom,overview,2022-06-28,10164,72
K02000001,United Kingdom,overview,2022-06-27,9827,64
K02000001,United Kingdom,overview,2022-06-26,9361,69
K02000001,United Kingdom,overview,2022-06-25,8786,72
K02000001,United Kingdom,overview,2022-06-24,8486,47
K02000001,United Kingdom,overview,2022-06-23,8059,62
K02000001,United Kingdom,overview,2022-06-22,7789,73
K02000001,United Kingdom,overview,2022-06-21,7498,58
K02000001,United Kingdom,overview,2022-06-20,7195,48
K02000001,United Kingdom,overview,2022-06-19,6830,47
K02000001,United Kingdom,overview,2022-06-18,6533,44
K02000001,United Kingdom,overview,2022-06-17,6345,45
K02000001,United Kingdom,overview,2022-06-16,6266,57
K02000001,United Kingdom,overview,2022-06-15,6081,45
K02000001,United Kingdom,overview,2022-06-14,5902,36
K02000001,United Kingdom,overview,2022-06-13,5784,41
K02000001,United Kingdom,overview,2022-06-12,5514,43
K02000001,United Kingdom,overview,2022-06-11,5344,33
K02000001,United Kingdom,overview,2022-06-10,5338,44
K02000001,United Kingdom,overview,2022-06-09,5141,27
K02000001,United Kingdom,overview,2022-06-08,5134,42
K02000001,United Kingdom,overview,2022-06-07,5145,33
K02000001,United Kingdom,overview,2022-06-06,5123,43
K02000001,United Kingdom,overview,2022-06-05,4929,30
K02000001,United Kingdom,overview,2022-06-04,4781,39
K02000001,United Kingdom,overview,2022-06-03,4821,28
K02000001,United Kingdom,overview,2022-06-02,4811,47
K02000001,United Kingdom,overview,2022-06-01,4793,26
K02000001,United Kingdom,overview,2022-05-31,5037,50
K02000001,United Kingdom,overview,2022-05-30,5077,51
K02000001,United Kingdom,overview,2022-05-29,4995,30
K02000001,United Kingdom,overview,2022-05-28,5047,34
K02000001,United Kingdom,overview,2022-05-27,5240,45
K02000001,United Kingdom,overview,2022-05-26,5492,45
K02000001,United Kingdom,overview,2022-05-25,5628,34
K02000001,United Kingdom,overview,2022-05-24,5772,51
K02000001,United Kingdom,overview,2022-05-23,6149,63
K02000001,United Kingdom,overview,2022-05-22,6159,59
K02000001,United Kingdom,overview,2022-05-21,6210,49
K02000001,United Kingdom,overview,2022-05-20,6429,72
K02000001,United Kingdom,overview,2022-05-19,6639,46
K02000001,United Kingdom,overview,2022-05-18,6784,46
K02000001,United Kingdom,overview,2022-05-17,7156,72
K02000001,United Kingdom,overview,2022-05-16,7491,66
K02000001,United Kingdom,overview,2022-05-15,7672,73
K02000001,United Kingdom,overview,2022-05-14,7687,66
