Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kuwait,KWT,"Population, total",SP.POP.TOTL,4317185,4441100,4360444,4250114,4268873,4310108
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6322800,6456200,6579900,6691800,6803300,6911347
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7105006,7212053,7319399,7425057,7529475,7633779
Latvia,LVA,"Population, total",SP.POP.TOTL,1927174,1913822,1900449,1884490,1883379,1862576
Lebanon,LBN,"Population, total",SP.POP.TOTL,5950839,5781907,5662923,5592631,5489739,5353930
Lesotho,LSO,"Population, total",SP.POP.TOTL,2198017,2225702,2254100,2281454,2305825,2330318
Liberia,LBR,"Population, total",SP.POP.TOTL,4889391,4985289,5087584,5193416,5302681,5418377
Libya,LBY,"Population, total",SP.POP.TOTL,6477793,6569088,6653942,6735277,6812341,6888388
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38181,38482,38756,39039,39327,39584
Lithuania,LTU,"Population, total",SP.POP.TOTL,2801543,2794137,2794885,2800839,2833000,2805298
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607950,620001,630419,640064,650774,657569
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,650991,663653,676283,686607,695168,704149
Madagascar,MDG,"Population, total",SP.POP.TOTL,26846541,27533134,28225177,28915653,29611714,30325732
Malawi,MWI,"Population, total",SP.POP.TOTL,18367883,18867337,19377061,19889742,20405317,20931751
Malaysia,MYS,"Population, total",SP.POP.TOTL,32399271,32804020,33199993,33573874,33938221,34308525
Maldives,MDV,"Population, total",SP.POP.TOTL,489758,504508,514438,521457,523787,521021
Mali,MLI,"Population, total",SP.POP.TOTL,19934298,20567424,21224040,21904983,22593590,23293698
Malta,MLT,"Population, total",SP.POP.TOTL,484630,504062,515332,518536,523417,524909
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,45989,44728,43413,42050,41569,41996
Mauritania,MRT,"Population, total",SP.POP.TOTL,4270712,4383849,4498604,4614974,4736139,4862989
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265577,1265985,1266014,1266334,1262523,1263939
Mexico,MEX,"Population, total",SP.POP.TOTL,124013861,125085311,125998302,126705138,127504125,128455567
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110929,111379,112106,113131,114164,115224
Moldova,MDA,"Population, total",SP.POP.TOTL,2707203,2664224,2635130,2615199,2592477,2464653
Monaco,MCO,"Population, total",SP.POP.TOTL,37029,37034,36922,36686,36469,36297
Mongolia,MNG,"Population, total",SP.POP.TOTL,3163991,3232430,3294335,3347782,3398366,3447157
Montenegro,MNE,"Population, total",SP.POP.TOTL,622227,622028,621306,619211,616159,615737
Morocco,MAR,"Population, total",SP.POP.TOTL,35927511,36304408,36688772,37076584,37457971,37840044
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29423878,30285595,31178239,32077072,32969518,33897354
Myanmar,MMR,"Population, total",SP.POP.TOTL,52666014,53040212,53423198,53798084,54179306,54577997
Namibia,NAM,"Population, total",SP.POP.TOTL,2405680,2446644,2489098,2530151,2567012,2604172
Nauru,NRU,"Population, total",SP.POP.TOTL,11924,12132,12315,12511,12668,12780
Nepal,NPL,"Population, total",SP.POP.TOTL,28506712,28832496,29348627,30034989,30547580,30896590
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231624,17344874,17441500,17533044,17703090,17750264
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271170,271240,272460,274660,276780,279563
New Zealand,NZL,"Population, total",SP.POP.TOTL,4900600,4979200,5090200,5111400,5124100,5163908
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6572233,6663924,6755895,6850540,6948392,7046310
Niger,NER,"Population, total",SP.POP.TOTL,22577058,23443393,24333639,25252722,26207977,27202843
Nigeria,NGA,"Population, total",SP.POP.TOTL,198387623,203304492,208327405,213401323,218541212,223804632
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076217,2076694,2072531,2065092,2057679,2051957
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,50304,49858,49587,49481,49551,49796
Norway,NOR,"Population, total",SP.POP.TOTL,5311916,5347896,5379475,5408320,5457127,5496014
Oman,OMN,"Population, total",SP.POP.TOTL,4601157,4602768,4543399,4520471,4576298,4644384
Pakistan,PAK,"Population, total",SP.POP.TOTL,219731479,223293280,227196741,231402117,235824862,240485658
Palau,PLW,"Population, total",SP.POP.TOTL,17864,17916,17972,18024,18055,18058
